id,text,processed_text
9796,General Surgeons,general surgeon
9797,Home Health Care Services,home health care service
9798,Hospitals,hospital
9799,Kidney Dialysis Centers,kidney dialysis center
9800,Medical  Diagnostic Laboratories,medical diagnostic laboratory
9801,Medical Equipment  Supplies Manufacturing,medical equipment supply manufacturing
9802,Mental Health  Substance Abuse Services,mental health substance abuse service
9803,Mental Health Professionals,mental health professional
9804,Nursing Homes  LongTerm Care Facilities,nursing home longterm care facility
9805,OBGYNs,obgyns
9806,Oncologists,oncologist
9807,Optometrists,optometrist
9808,Outpatient Surgical Centers,outpatient surgical center
9809,Pediatricians,pediatrician
9810,Physicians,physician
9811,Podiatrists,podiatrist
9812,Rehabilitation Therapy Services,rehabilitation therapy service
9813,Social Assistance,social assistance
9814,Alcoholism,alcoholism
9815,Drug addiction,drug addiction
9816,Gambling addiction,gambling addiction
9817,Other Addiction,addiction
9818,Dry Eyes,dry eye
9819,Hearing Loss,hearing loss
9820,Macular Degeneration,macular degeneration
9821,Macular Edema,macular edema
9822,Wear Contacts,wear contact
9823,Wear Eyeglasses,wear eyeglass
9824,Other Vision Condition,vision condition
9825,Other Hearing Condition,hearing condition
9826,Allergies,allergy
9827,Cystic Fibrosis,cystic fibrosis
9828,Idiopathic Pulmonary Fibrosis IPF,idiopathic pulmonary fibrosis ipf
9829,Pulmonary Arterial Hypertension PAH,pulmonary arterial hypertension pah
9830,Other Allergy Asthma or Respiratory Condition,allergy asthma respiratory condition
9831,Insomnia,insomnia
9832,Narcolepsy,narcolepsy
9833,Sleep Apnea,sleep apnea
9834,Other Sleep Disorder,sleep disorder
9835,Osteo Arthritis Large Joint,osteo arthritis large joint
9836,Psoriatic Arthritis,psoriatic arthritis
9837,Rheumatoid Arthritis,rheumatoid arthritis
9838,Other Arthritis or Joint Condition,arthritis joint condition
9839,Baldness  Hair Loss,baldness hair loss
9840,Hyperhidrosis,hyperhidrosis
9841,Other Skin or Dermatologic Condition,skin dermatologic condition
9842,Ankylosing Spondylitis,ankylosing spondylitis
9843,Back Pain,back pain
9844,Neuropathy,neuropathy
9845,Other Pain Condition,pain condition
9846,Addiction,addiction
9847,Allergy  Asthma  Respiratory,allergy asthma respiratory
9848,Arthritis  Joint Ailments,arthritis joint ailment
9849,Autoimmune  Blood,autoimmune blood
9850,Cardiovascular  Heart,cardiovascular heart
9851,Dental,dental
9852,Diabetes  Thyroid  Obesity,diabetes thyroid obesity
9853,Gastric  Digestive  Urinary eg Crohns Heartburn Kidney Disease,gastric digestive urinary eg crohn heartburn kidney disease
9854,Male  Female Health eg ED Low T Menopause Osteoporosis,male female health eg ed low menopause osteoporosis
9855,Mental Health eg Anxiety ADDADHD Depression,mental health eg anxiety addadhd depression
9856,Neurologic  Nervous eg Migraines MS Stroke,neurologic nervous eg migraine m stroke
9857,Pain eg Fibromyalgia Gout,pain eg fibromyalgia gout
9858,Skin  Dermatologic,skin dermatologic
9859,Sleep Disorders,sleep disorder
9860,Vision  Hearing Impairments,vision hearing impairment
9861,Prefer not to answer,prefer answer
9862,AIDS  HIV,aid hiv
9863,Hepatitis C,hepatitis c
9864,Other Autoimmune Condition,autoimmune condition
9865,Other Blood Condition,blood condition
9866,Alzheimers Disease,alzheimers disease
9867,Autism,autism
9868,Migraines,migraine
9869,Multiple Sclerosis,multiple sclerosis
9870,Muscular Dystrophy,muscular dystrophy
9871,Parkinsons Disease,parkinson disease
9872,Seizures,seizure
9873,Other Neurologic or Nervous Condition,neurologic nervous condition
9874,Breast Cancer,breast cancer
9875,Cervical Cancer,cervical cancer
9876,Colorectal Cancer,colorectal cancer
9877,Kidney Renal Cancer,kidney renal cancer
9878,Leukemia Cancer,leukemia cancer
9879,Lung Cancer,lung cancer
9880,Multiple Myeloma Cancer,multiple myeloma cancer
9881,NonHodgkins Lymphoma Cancer,nonhodgkins lymphoma cancer
9882,Ovarian Cancer,ovarian cancer
9883,Prostate Cancer,prostate cancer
9884,Skin Cancer,skin cancer
9885,Thyroid Cancer,thyroid cancer
9886,Uterine Cancer,uterine cancer
9887,Other Cancer,cancer
9888,Arrhythmia eg Atrial FibrillationAfib,arrhythmia eg atrial fibrillationafib
9889,Congestive  Chronic Heart Failure CHF,congestive chronic heart failure chf
9890,Coronary Artery Disease CAD,coronary artery disease cad
9891,Deep Vein Thrombosis DVT,deep vein thrombosis dvt
9892,Dyslipidemia,dyslipidemia
9893,Heart Attack,heart attack
9894,High Cholesterol,high cholesterol
9895,Hypertension  High Blood Pressure,hypertension high blood pressure
9896,Peripheral Arterial Disease PAD,peripheral arterial disease pad
9897,Other Cardiovascular or Heart Condition,cardiovascular heart condition
9898,ADD  ADHD,add adhd
9899,Bipolar Disorder,bipolar disorder
9900,Other Mental Health Condition,mental health condition
9901,CankerCold Sores,cankercold sore
9902,Cosmetic  Orthodontic Condition,cosmetic orthodontic condition
9903,Gum Periodontal Disease,gum periodontal disease
9904,Tooth Decay,tooth decay
9905,Tooth Sensitivity,tooth sensitivity
9906,Other Dental Condition,dental condition
9907,Enlarged Prostate  BPH,enlarged prostate bph
9908,Erectile Dysfunction ED,erectile dysfunction ed
9909,Hypogonadism Low Testosterone Low LH Low FSH,hypogonadism low testosterone low lh low fsh
9910,Uterine Fibroids,uterine fibroid
9911,Other Male or Female Health Condition,male female health condition
9912,Celiac Disease,celiac disease
9913,Crohns Disease,crohn disease
9914,GERD  Acid Reflux,gerd acid reflux
9915,Heartburn,heartburn
9916,Incontinence,incontinence
9917,Irritable Bowel Syndrome IBS,irritable bowel syndrome ibs
9918,Kidney Disease,kidney disease
9919,Overactive Bladder  Urge Incontinence,overactive bladder urge incontinence
9920,Ulcerative Colitis,ulcerative colitis
9921,Other Gastric Digestive or Urinary Condition,gastric digestive urinary condition
9922,Type 1 Diabetes,type 1 diabetes
9923,Type 2 Diabetes,type 2 diabetes
9924,Hyperthyroidism,hyperthyroidism
9925,Other Diabetes or Thyroid Condition,diabetes thyroid condition
9926,Document Management,document management
9927,Workflow Management,workflow management
9928,All of the above,
9929,Have not used Project Management software,used project management software
9930,EScooters,escooters
9931,Small domestic appliances Toasters grills oven bread machine coffee maker etc,small domestic appliance toaster grill oven bread machine coffee maker etc
9932,Major domestic appliances dishwashers freezers refrigerators etc,major domestic appliance dishwasher freezer refrigerator etc
9933,House Flatvilla,house flatvilla
9934,Televison smart tv lcd UHD TV etc,televison smart tv lcd uhd tv etc
9935,Game console,game console
9936,PCLaptopTablet,pclaptoptablet
9937,Home Furnitures for living room bed room etc,home furniture living room bed room etc
9938,Centerfield Source 1,centerfield source 1
9939,Centerfield Source 10,centerfield source 10
9940,Centerfield Source 11,centerfield source 11
9941,Centerfield Source 12,centerfield source 12
9942,Centerfield Source 13,centerfield source 13
9943,Centerfield Source 14,centerfield source 14
9944,Centerfield Source 15,centerfield source 15
9945,Centerfield Source 2,centerfield source 2
9946,Centerfield Source 3,centerfield source 3
9947,Centerfield Source 4,centerfield source 4
9948,Centerfield Source 5,centerfield source 5
9949,Centerfield Source 6,centerfield source 6
9950,Centerfield Source 7,centerfield source 7
9951,Centerfield Source 8,centerfield source 8
9952,Centerfield Source 9,centerfield source 9
9953,Providemedia Source 1,providemedia source 1
9954,Providemedia Source 10,providemedia source 10
9955,Providemedia Source 11,providemedia source 11
9956,Providemedia Source 12,providemedia source 12
9957,Providemedia Source 13,providemedia source 13
9958,Providemedia Source 14,providemedia source 14
9959,Providemedia Source 15,providemedia source 15
9960,Providemedia Source 16,providemedia source 16
9961,Providemedia Source 17,providemedia source 17
9962,Providemedia Source 18,providemedia source 18
9963,Providemedia Source 19,providemedia source 19
9964,Providemedia Source 2,providemedia source 2
9965,Providemedia Source 20,providemedia source 20
9966,Providemedia Source 3,providemedia source 3
9967,Providemedia Source 4,providemedia source 4
9968,Providemedia Source 5,providemedia source 5
9969,Providemedia Source 6,providemedia source 6
9970,Providemedia Source 7,providemedia source 7
9971,Providemedia Source 8,providemedia source 8
9972,Providemedia Source 9,providemedia source 9
9973,Acupuncture  Holistic Treatments,acupuncture holistic treatment
9974,Aesthetician,aesthetician
9975,Chemical  Drug Dependency,chemical drug dependency
9976,Chiropractor  Alternative Medicine,chiropractor alternative medicine
9977,Dentistry,dentistry
9978,Diet  Health Nutrition,diet health nutrition
9979,EMT  Paramedic,emt paramedic
9980,Hospital  Medical Office Staff,hospital medical office staff
9981,Marriage amp Family Therapy  Counseling,marriage amp family therapy counseling
9982,MD  DO,md
9983,Medical Assistant  Physician Assistant,medical assistant physician assistant
9984,Medical Goods  Devices,medical good device
9985,Mental Health Counselor,mental health counselor
9986,Nurse practitioner,nurse practitioner
9987,Nursing,nursing
9988,Optometry,optometry
9989,Pharmacy,pharmacy
9990,Physical  Occupational  Speech Therapy,physical occupational speech therapy
9991,Podiatry,podiatry
9992,Podiatry  Wound Care,podiatry wound care
9993,Psychology,psychology
9994,Social Worker,social worker
9995,Therapy Other,therapy
9996,Veterinary Medicine,veterinary medicine
9997,Atlanta,atlanta
9998,Austria,austria
9999,Baltimore,baltimore
10000,Barcelona municipio,barcelona municipio
10001,Barcelona provincia,barcelona provincia
10002,Berlin City,berlin city
10003,Berlin County,berlin county
10004,Boston,boston
10005,Chicago,chicago
10006,Cincinnati,cincinnati
10007,Dallas,dallas
10008,Frankfurt am Main City,frankfurt main city
10009,Frankfurt City,frankfurt city
10010,Frankfurt County,frankfurt county
10011,Hamburg,hamburg
10012,Houston,houston
10013,Los Angeles,los angeles
10014,Lyon,lyon
10015,Madrid municipio,madrid municipio
10016,Madrid provincia,madrid provincia
10017,Munich City,munich city
10018,Munich County,munich county
10019,National ES,national e
10020,National FR,national fr
10021,National GE,national ge
10022,National UK,national uk
10023,National US,national u
10024,New York City,new york city
10025,Orlando,orlando
10026,Paris,paris
10027,Philadelphia,philadelphia
10028,Phoenix,phoenix
10029,San Francisco,san francisco
10030,St Louis,st louis
10031,Switzerland,switzerland
10032,Administration  General Staff,administration general staff
10033,Creative  Design,creative design
10034,Customer Service  Client Service,customer service client service
10035,Facilities Management,facility management
10036,Finance  Accounting,finance accounting
10037,Information Technology,information technology
10038,Legal  Law,legal law
10039,Management,management
10040,Production,production
10041,Sales  Business Development,sale business development
10042,Atheism,atheism
10043,Democratic,democratic
10044,Tea Party,tea party
10045,black,black
10046,blue,blue
10047,dark grey,dark grey
10048,green,green
10049,grey,grey
10050,red,red
10051,yellow,yellow
10052,Advisors,advisor
10053,Client,client
10054,DE Importiert aus alter Datenbank da Teilnahme in 201314,de importiert au alter datenbank da teilnahme 201314
10055,DE Importiert da Teilnahme in 201314,de importiert da teilnahme 201314
10056,DEDUP REMOVE,dedup remove
10057,Deliverability Seed,deliverability seed
10058,DOI,doi
10059,Fraud,fraud
10060,Inactive,inactive
10061,SOI,soi
10062,UnsubscribeOptOut,unsubscribeoptout
10063,Unused,unused
10064,UnverifiedSAMS,unverifiedsams
10065,Intersexambiguous,intersexambiguous
10066,More than 5,5
10067,AccountingAuditing,accountingauditing
10068,Administrative,administrative
10069,ArtCreative,artcreative
10070,Business Development,business development
10071,Customer Service,customer service
10072,Design,design
10073,Distribution,distribution
10074,General Business,general business
10075,Health Care Provider,health care provider
10076,Product Management,product management
10077,Project Management,project management
10078,Purchasing,purchasing
10079,Research,research
10080,Science,science
10081,StrategyPlanning,strategyplanning
10082,Supply Chain,supply chain
10083,Training,training
10084,WritingEditing,writingediting
10085,Department Head or Team Lead,department head team lead
10086,Anderes Land,anderes land
10087,Deutschland,deutschland
10088,französische Schweiz,franz sische schweiz
10089,Liechtenstein,liechtenstein
10090,Luxemburg,luxemburg
10091,Österreich,sterreich
10092,Schweiz,schweiz
10093,0  19999,0 19999
10094,20000  34999,20000 34999
10095,250000 or more,250000
10096,35000  49999,35000 49999
10097,Yes another Hispanic Latino or Spanish origin  Brazilian,yes another hispanic latino spanish origin brazilian
10098,Yes another Hispanic Latino or Spanish origin  Chile,yes another hispanic latino spanish origin chile
10099,Yes another Hispanic Latino or Spanish origin  Czechoslovakian,yes another hispanic latino spanish origin czechoslovakian
10100,Yes another Hispanic Latino or Spanish origin  Dominican,yes another hispanic latino spanish origin dominican
10101,Yes another Hispanic Latino or Spanish origin  Hondurian,yes another hispanic latino spanish origin hondurian
10102,Yes another Hispanic Latino or Spanish origin  Puerto Rican,yes another hispanic latino spanish origin puerto rican
10103,Yes another Hispanic Latino or Spanish origin  Venezeula,yes another hispanic latino spanish origin venezeula
10104,Separated divorced or widowed,separated divorced widowed
10105,Single never married,single never married
10106,Unemployed,unemployed
10107,AFGHANISTAN,afghanistan
10108,ALBANIA,albania
10109,ALGERIA,algeria
10110,ANDORRA,andorra
10111,ANGOLA,angola
10112,ANGUILLA,anguilla
10113,ANTARCTICA,antarctica
10114,ANTIGUA AND BARBUDA,antigua barbuda
10115,ARGENTINA,argentina
10116,ARMENIA,armenia
10117,ARUBA,aruba
10118,AUSTRALIA,australia
10119,AZERBAIJAN,azerbaijan
10120,BAHAMAS,bahamas
10121,BAHRAIN,bahrain
10122,BANGLADESH,bangladesh
10123,BARBADOS,barbados
10124,BELARUS,belarus
10125,BELGIUM,belgium
10126,BELIZE,belize
10127,BENIN,benin
10128,BERMUDA,bermuda
10129,BHUTAN,bhutan
10130,BOLIVIA,bolivia
10131,BOSNIA AND HERZEGOWINA,bosnia herzegowina
10132,BOTSWANA,botswana
10133,BOUVET ISLAND,bouvet island
10134,BRAZIL,brazil
10135,BRITISH INDIAN OCEAN TERRITORY,british indian ocean territory
10136,BRUNEI DARUSSALAM,brunei darussalam
10137,BULGARIA,bulgaria
10138,BURKINA FASO,burkina faso
10139,BURUNDI,burundi
10140,CAMBODIA,cambodia
10141,CAMEROON,cameroon
10142,CANADA,canada
10143,CAPE VERDE,cape verde
10144,CAYMAN ISLANDS,cayman island
10145,CENTRAL AFRICAN REPUBLIC,central african republic
10146,CHAD,chad
10147,CHILE,chile
10148,CHINA,china
10149,CHRISTMAS ISLAND,christmas island
10150,COCOS  ISLANDS,coco island
10151,COLOMBIA,colombia
10152,COMOROS,comoros
10153,CONGO,congo
10154,CONGO THE DEMOCRATIC REPUBLIC OF TH,congo democratic republic th
10155,COOK ISLANDS,cook island
10156,COSTA RICA,costa rica
10157,COTE DIVOIRE,cote divoire
10158,CROATIA,croatia
10159,CUBA,cuba
10160,CYPRUS,cyprus
10161,CZECH REPUBLIC,czech republic
10162,DENMARK,denmark
10163,DJIBOUTI,djibouti
10164,DOMINICA,dominica
10165,DOMINICAN REPUBLIC,dominican republic
10166,EAST TIMOR,east timor
10167,ECUADOR,ecuador
10168,EGYPT,egypt
10169,EL SALVADOR,el salvador
10170,EQUATORIAL GUINEA,equatorial guinea
10171,ERITREA,eritrea
10172,ESTONIA,estonia
10173,ETHIOPIA,ethiopia
10174,FALKLAND ISLANDS,falkland island
10175,FAROE ISLANDS,faroe island
10176,FIJI,fiji
10177,FINLAND,finland
10178,FRANCE,france
10179,FRANCE METROPOLITAN,france metropolitan
10180,FRENCH GUIANA,french guiana
10181,FRENCH POLYNESIA,french polynesia
10182,FRENCH SOUTHERN TERRITORIES,french southern territory
10183,GABON,gabon
10184,GAMBIA,gambia
10185,GERMANY,germany
10186,GHANA,ghana
10187,GIBRALTAR,gibraltar
10188,GREECE,greece
10189,GREENLAND,greenland
10190,GRENADA,grenada
10191,GUADELOUPE,guadeloupe
10192,GUATEMALA,guatemala
10193,GUINEA,guinea
10194,GUINEABISSAU,guineabissau
10195,GUYANA,guyana
10196,HAITI,haiti
10197,HEARD AND MC DONALD ISLANDS,heard mc donald island
10198,HELENA,helena
10199,HOLY SEE,holy see
10200,HONDURAS,honduras
10201,HUNGARY,hungary
10202,INDIA,india
10203,INDONESIA,indonesia
10204,IRAN,iran
10205,IRAQ,iraq
10206,IRELAND,ireland
10207,ISRAEL,israel
10208,ITALY,italy
10209,JAMAICA,jamaica
10210,JAPAN,japan
10211,JORAN,joran
10212,KAZAKHSTAN,kazakhstan
10213,KENYA,kenya
10214,KIRIBATI,kiribati
10215,KOREA DEMOCRATIC PEOPLES REPUBLIC,korea democratic people republic
10216,KOREA REPUBLIC OF,korea republic
10217,KUWAIT,kuwait
10218,KYRGYZSTAN,kyrgyzstan
10219,LAO PEOPLES DEMOCRATIC REPUBLIC,lao people democratic republic
10220,LATVIA,latvia
10221,LEBANON,lebanon
10222,LESOTHO,lesotho
10223,LIBERIA,liberia
10224,LIBYAN ARAB JAMAHIRIYA,libyan arab jamahiriya
10225,LITHUANIA,lithuania
10226,LUXEMBOURG,luxembourg
10227,MACAU,macau
10228,MACEDONIA THE FORMER YUGOSLAV REPUB,macedonia former yugoslav repub
10229,MADAGASCAR,madagascar
10230,MALAYSIA,malaysia
10231,MALDIVES,maldives
10232,MALI,mali
10233,MALIWI,maliwi
10234,MALTA,malta
10235,MARTINIQUE,martinique
10236,MAURITANIA,mauritania
10237,MAURITIUS,mauritius
10238,MAYOTTE,mayotte
10239,MEXICO,mexico
10240,MICRONESIA FEDERATED STATES OF,micronesia federated state
10241,MOLDOVA REPUBLIC OF,moldova republic
10242,MONACO,monaco
10243,MONGOLIA,mongolia
10244,MONTSERRAT,montserrat
10245,MOROCCO,morocco
10246,MOZAMBIQUE,mozambique
10247,MYANMAR,myanmar
10248,NAMIBIA,namibia
10249,NAURU,nauru
10250,NEPAL,nepal
10251,NETHERLANDS,netherlands
10252,NETHERLANDS ANTILLES,netherlands antilles
10253,NEW CALEDONIA,new caledonia
10254,NEW ZEALAND,new zealand
10255,NICARAGUA,nicaragua
10256,NIGER,niger
10257,NIGERIA,nigeria
10258,NORFOLK ISLANDS,norfolk island
10259,NORWAY,norway
10260,OMAN,oman
10261,PAKISTAN,pakistan
10262,PANAMA,panama
10263,PAPUA NEW GUINEA,papua new guinea
10264,PARAGUAY,paraguay
10265,PERU,peru
10266,PHILIPPINES,philippine
10267,PIERRE AND MIQUELON,pierre miquelon
10268,PITCAIRN,pitcairn
10269,POLAND,poland
10270,PORTUGAL,portugal
10271,QATAR,qatar
10272,REUNION,reunion
10273,ROMANIA,romania
10274,RUSSIAN FEDERATION,russian federation
10275,RWANDA,rwanda
10276,SAINT KITTS AND NEVIS,saint kitts nevis
10277,SAINT LUCIA,saint lucia
10278,SAINT VINCENT AND THE GRENADINES,saint vincent grenadine
10279,SAMOA,samoa
10280,SAN MARINO,san marino
10281,SAO TOME AND PRINCIPE,sao tome principe
10282,SAUDI ARABIA,saudi arabia
10283,SENEGAL,senegal
10284,SEYCHELLES,seychelles
10285,SIERRA LEONE,sierra leone
10286,SINGAPORE,singapore
10287,SLOVAKIA,slovakia
10288,SLOVENIA,slovenia
10289,SOLOMON ISLANDS,solomon island
10290,SOMALIA,somalia
10291,SOUTH AFRICA,south africa
10292,SOUTH GEORGIA AND THE SOUTH SANDWICH,south georgia south sandwich
10293,SPAIN,spain
10294,SRI LANKA,sri lanka
10295,SUDAN,sudan
10296,SURINAME,suriname
10297,SVALBARD AND JAN MAYEN ISLANDS,svalbard jan mayen island
10298,SWAZILAND,swaziland
10299,SWEDEN,sweden
10300,SYRIAN ARAB REPUBLIC,syrian arab republic
10301,TAIWAN PROVINCE OF CHINA,taiwan province china
10302,TAJIKISTAN,tajikistan
10303,TANZANIA UNITED REPUBLIC OF,tanzania united republic
10304,THAILAND,thailand
10305,TOGO,togo
10306,TOKELAU,tokelau
10307,TONGA,tonga
10308,TRINIDAD AND TOBAGO,trinidad tobago
10309,TUNISIA,tunisia
10310,TURKEY,turkey
10311,TURKMENISTAN,turkmenistan
10312,TURKS AND CAICOS ISLANDS,turk caicos island
10313,TUVALU,tuvalu
10314,UGANDA,uganda
10315,UKRAINE,ukraine
10316,UNITED ARAB EMIRATES,united arab emirate
10317,UNITED KINGDOM,united kingdom
10318,UNITED STATES,united state
10319,UNITED STATES MINOR OUTLYING ISLANDS,united state minor outlying island
10320,URUGUAY,uruguay
10321,UZBEKISTAN,uzbekistan
10322,VANUATU,vanuatu
10323,VENEZUELA,venezuela
10324,VIET NAM,viet nam
10325,WALLIS AND FUTUNA ISLANDS,wallis futuna island
10326,WESTERN SAHARA,western sahara
10327,YEMEN,yemen
10328,YUGOSLAVIA,yugoslavia
10329,ZAMBIA,zambia
10330,ZIMBABWE,zimbabwe
10331,Currently being treated with chemotherapy,currently treated chemotherapy
10332,Expecting to start chemotherapy within the next 2 months,expecting start chemotherapy within next 2 month
10333,Have undergone or am about to undergo treatment other than chemotherapy  and no chemotherapy treatment is currently planned,undergone undergo treatment chemotherapy chemotherapy treatment currently planned
10334,NOT currently being treated with chemotherapy but have been treated with chemotherapy within the last 3 months,currently treated chemotherapy treated chemotherapy within last 3 month
10335,NOT currently being treated with chemotherapy but have previously been treated with chemotherapy more than 3 months ago,currently treated chemotherapy previously treated chemotherapy 3 month ago
10336,Every 23 months,every 23 month
10337,Every 46 months,every 46 month
10338,Every 712 months,every 712 month
10339,Less than once per year,le per year
10340,Monthly,monthly
10341,Weekly,weekly
10342,Non small cell,non small cell
10343,Small cell,small cell
10344,Asperger Syndrome,asperger syndrome
10345,Other Autism,autism
10346,Pervasive Developmental Disorder,pervasive developmental disorder
10347,Abbott Freestyle,abbott freestyle
10348,Accu Check Active,accu check active
10349,Accu Check Advantage,accu check advantage
10350,Accu Check Aviva,accu check aviva
10351,Accu Check Compact Plus,accu check compact plus
10352,AccuChek,accuchek
10353,Advocate,advocate
10354,Advocate Duo,advocate duo
10355,Advocate RediCode,advocate redicode
10356,Bayer,bayer
10357,Breeze2,breeze2
10358,Confirm,confirm
10359,Contour,contour
10360,Contour USB Meter,contour usb meter
10361,Control AST,control ast
10362,EasyGluco,easygluco
10363,FreeStyle Freedom Lite,freestyle freedom lite
10364,FreeStyle Lite,freestyle lite
10365,Glucocard 01,glucocard 01
10366,Glucocard Vital,glucocard vital
10367,Glucocard XMeter,glucocard xmeter
10368,GlucoPack,glucopack
10369,HDI,hdi
10370,HypoGuard,hypoguard
10371,Infinity,infinity
10372,Jazz,jazz
10373,Keynote,keynote
10374,Liberty,liberty
10375,LifeScan,lifescan
10376,Medisense,medisense
10377,Menarini Glucomen,menarini glucomen
10378,Micro,micro
10379,MyGlucoHealth Meter,myglucohealth meter
10380,Nova Max,nova max
10381,Nova Max Link,nova max link
10382,OneTouch Basic,onetouch basic
10383,OneTouch FastTake,onetouch fasttake
10384,OneTouch SureStep,onetouch surestep
10385,OneTouch Ultra,onetouch ultra
10386,OneTouch UltraMini,onetouch ultramini
10387,OneTouch UltraSmart,onetouch ultrasmart
10388,Other brand,brand
10389,Precision Xtra,precision xtra
10390,Prestige IQ,prestige iq
10391,Presto,presto
10392,Prodigy Autocode Meter,prodigy autocode meter
10393,Prodigy Pocket,prodigy pocket
10394,Prodigy Voice Meter,prodigy voice meter
10395,Sanofi Aventis,sanofi aventis
10396,Sidekick,sidekick
10397,TRUE2go,true2go
10398,TRUEread,trueread
10399,Trueresult,trueresult
10400,TrueTrack,truetrack
10401,Ultima,ultima
10402,1950,1950
10403,1951,1951
10404,1952,1952
10405,1953,1953
10406,1954,1954
10407,1955,1955
10408,1956,1956
10409,1957,1957
10410,1958,1958
10411,1959,1959
10412,1960,1960
10413,1961,1961
10414,1962,1962
10415,1963,1963
10416,1964,1964
10417,1965,1965
10418,1966,1966
10419,1967,1967
10420,1968,1968
10421,1969,1969
10422,1970,1970
10423,1971,1971
10424,1972,1972
10425,1973,1973
10426,1974,1974
10427,1975,1975
10428,1976,1976
10429,1977,1977
10430,1978,1978
10431,1979,1979
10432,1980,1980
10433,1981,1981
10434,1982,1982
10435,1983,1983
10436,1984,1984
10437,1985,1985
10438,1986,1986
10439,1987,1987
10440,1988,1988
10441,1989,1989
10442,1990,1990
10443,1991,1991
10444,Albany Medical College,albany medical college
10445,Albert Einstein College of Medicine of Yeshiva University,albert einstein college medicine yeshiva university
10446,Baylor College of Medicine,baylor college medicine
10447,Boston University School of Medicine,boston university school medicine
10448,Case Western Reserve University School of Medicine,case western reserve university school medicine
10449,Chicago Medical School at Rosalind Franklin University of Medicine amp Science,chicago medical school rosalind franklin university medicine amp science
10450,Columbia University College of Physicians and Surgeons,columbia university college physician surgeon
10451,Creighton University School of Medicine,creighton university school medicine
10452,Dartmouth Medical School,dartmouth medical school
10453,Drexel University College of Medicine,drexel university college medicine
10454,Duke University School of Medicine,duke university school medicine
10455,East Tennessee State University James H Quillen College of Medicine,east tennessee state university james h quillen college medicine
10456,Eastern Virginia Medical School,eastern virginia medical school
10457,Emory University School of Medicine,emory university school medicine
10458,FIU Herbert Wertheim College of Medicine,fiu herbert wertheim college medicine
10459,Florida State University College of Medicine,florida state university college medicine
10460,George Washington University School of Medicine and Health Sciences,george washington university school medicine health science
10461,Georgetown University School of Medicine,georgetown university school medicine
10462,Harvard Medical School,harvard medical school
10463,Howard University College of Medicine,howard university college medicine
10464,Indiana University School of Medicine,indiana university school medicine
10465,Jefferson Medical College of Thomas Jefferson University,jefferson medical college thomas jefferson university
10466,Johns Hopkins University School of Medicine,john hopkins university school medicine
10467,Keck School of Medicine of the University of Southern California,keck school medicine university southern california
10468,Loma Linda University School of Medicine,loma linda university school medicine
10469,Louisiana State University School of Medicine in New Orleans,louisiana state university school medicine new orleans
10470,Louisiana State University School of Medicine in Shreveport,louisiana state university school medicine shreveport
10471,Loyola University Chicago Stritch School of Medicine,loyola university chicago stritch school medicine
10472,Marshall University Joan C Edwards School of Medicine,marshall university joan c edward school medicine
10473,Mayo Medical School,mayo medical school
10474,Medical College of Georgia School of Medicine,medical college georgia school medicine
10475,Medical College of Wisconsin,medical college wisconsin
10476,Medical University of South Carolina College of Medicine,medical university south carolina college medicine
10477,Meharry Medical College,meharry medical college
10478,Mercer University School of Medicine,mercer university school medicine
10479,Michigan State University College of Human Medicine,michigan state university college human medicine
10480,Morehouse School of Medicine,morehouse school medicine
10481,Mount Sinai School of Medicine of New York University,mount sinai school medicine new york university
10482,New York Medical College,new york medical college
10483,New York University School of Medicine,new york university school medicine
10484,Northeastern Ohio Universities Colleges of Medicine and Pharmacy,northeastern ohio university college medicine pharmacy
10485,Northwestern University The Feinberg School of Medicine,northwestern university feinberg school medicine
10486,Oakland University William Beaumont School of Medicine,oakland university william beaumont school medicine
10487,Ohio State University College of Medicine,ohio state university college medicine
10488,Oregon Health amp Science University School of Medicine,oregon health amp science university school medicine
10489,Pennsylvania State University College of Medicine,pennsylvania state university college medicine
10490,Ponce School of Medicine,ponce school medicine
10491,Rush Medical College of Rush University Medical Center,rush medical college rush university medical center
10492,Saint Louis University School of Medicine,saint louis university school medicine
10493,San Juan Bautista School of Medicine,san juan bautista school medicine
10494,Sanford School of Medicine The University of South Dakota,sanford school medicine university south dakota
10495,Southern Illinois University School of Medicine,southern illinois university school medicine
10496,Stanford University School of Medicine,stanford university school medicine
10497,State University of New York Downstate Medical Center College of Medicine,state university new york downstate medical center college medicine
10498,State University of New York Upstate Medical University,state university new york upstate medical university
10499,Temple University School of Medicine,temple university school medicine
10500,Texas AampM Health Science Center College of Medicine,texas aampm health science center college medicine
10501,Texas Tech University Health Sciences Center Paul L Foster School of Medicine,texas tech university health science center paul l foster school medicine
10502,Texas Tech University Health Sciences Center School of Medicine,texas tech university health science center school medicine
10503,The Brody School of Medicine at East Carolina University,brody school medicine east carolina university
10504,The Commonwealth Medical College,commonwealth medical college
10505,The School of Medicine at Stony Brook University Medical Center,school medicine stony brook university medical center
10506,The University of Texas School of Medicine at San Antonio,university texas school medicine san antonio
10507,The University of Toledo College of Medicine,university toledo college medicine
10508,The Warren Alpert Medical School of Brown University,warren alpert medical school brown university
10509,Tufts University School of Medicine,tuft university school medicine
10510,Tulane University School of Medicine,tulane university school medicine
10511,Uniformed Services University of the Health Sciences F Edward Hebert School of Medicine,uniformed service university health science f edward hebert school medicine
